,hexcode,decimal,Unicode name,CLDR English name,major shortname,localsrc, char
1f34e,127822,red apple, , ,apple,🍎
1f34f,127823,green apple, , ,greenapple,🍏
1f351,127825,peach, , ,peach,🍑
1f352,127826,cherries, , ,cherry,🍒
1f353,127827,strawberry, , ,strawberry,🍓
1f354,127828,hamburger, , ,hamburger,🍔
1f355,127829,slice of pizza, , ,pizza,🍕
1f356,127830,meat on bone, , ,meal2,🍖
1f357,127831,poultry leg, , ,turkey,🍗
1f358,127832,rice cracker, , ,ricecracker,🍘
1f359,127833,rice ball, , ,riceball,🍙
1f35a,127834,cooked rice, , ,rice,🍚
1f35b,127835,curry and rice, , ,curry,🍛
1f35c,127836,steaming bowl, , ,noodle,🍜
1f35d,127837,spaghetti, , ,spaghetti,🍝
1f35e,127838,bread, , ,bread,🍞
1f35f,127839,french fries, , ,potato,🍟
1f360,127840,roasted sweet potato, , ,sweetpotato,🍠
1f361,127841,dango, , ,dumpling,🍡
1f362,127842,oden, , ,oden,🍢
1f363,127843,sushi, , ,sushi,🍣
1f364,127844,fried shrimp, , ,lobster,🍤
1f365,127845,fish cake with swirl design, , ,fishcake,🍥
1f366,127846,soft ice cream, , ,softcream,🍦
1f367,127847,shaved ice, , ,shavedice,🍧
1f368,127848,ice cream, , ,icecream,🍨
1f369,127849,doughnut, , ,doughnut,🍩
1f36a,127850,cookie, , ,cookie,🍪
1f36b,127851,chocolate bar, , ,chocolate,🍫
1f36c,127852,candy, , ,candy,🍬
1f36d,127853,lollipop, , ,candy2,🍭
1f36e,127854,custard, , ,pudding,🍮
1f36f,127855,honey pot, , ,pot2,🍯
1f370,127856,shortcake, , ,cake,🍰
1f371,127857,bento box, , ,boxlunch,🍱
1f372,127858,pot of food, , ,pot,🍲
1f373,127859,cooking, , ,pan,🍳
1f374,127860,fork and knife, , ,meal1,🍴
1f375,127861,teacup without handle, , ,japanesetea,🍵
1f376,127862,sake bottle and cup, , ,sakebottle,🍶
1f377,127863,wine glass, , ,wineglass,🍷
1f378,127864,cocktail glass, , ,martini,🍸
1f379,127865,tropical drink, , ,drink,🍹
1f37a,127866,beer mug, , ,mug,🍺
1f37b,127867,clinking beer mugs, , ,toast,🍻
1f380,127872,ribbon, , ,ribbon,🎀
1f381,127873,wrapped present, , ,present,🎁
1f382,127874,birthday cake, , ,birthday,🎂
1f383,127875,jackolantern, , ,halloween,🎃
1f384,127876,christmas tree, , ,christmastree,🎄
1f385,127877,father christmas, , ,santaclaus,🎅
1f386,127878,fireworks, , ,fireworks,🎆
1f387,127879,firework sparkler, , ,toyfireworks,🎇
1f388,127880,balloon, , ,balloon,🎈
1f389,127881,party popper, , ,cracker,🎉
1f38a,127882,confetti ball, , ,decoratedball,🎊
1f38b,127883,tanabata tree, , ,starfestival,🎋
1f38c,127884,crossed flags, , ,flag2,🎌
1f38d,127885,pine decoration, , ,pinedecoration,🎍
1f38e,127886,japanese dolls, , ,dollsfestival,🎎
1f38f,127887,carp streamer, , ,carpstreamer,🎏
1f390,127888,wind chime, , ,windbell,🎐
1f391,127889,moon viewing ceremony, , ,moonlight,🎑
1f392,127890,school satchel, , ,entranceceremony,🎒
1f393,127891,graduation cap, , ,commencement,🎓
1f3a0,127904,carousel horse, , ,,🎠
1f3a1,127905,ferris wheel, , ,amusementpark,🎡
1f3a2,127906,roller coaster, , ,rollercoaster,🎢
1f3a3,127907,fishing pole and fish, , ,fishing,🎣
1f3a4,127908,microphone, , ,microphone,🎤
1f3a5,127909,movie camera, , ,videocam,🎥
1f3a6,127910,cinema, , ,,🎦
1f3a7,127911,headphone, , ,headphone,🎧
1f3a8,127912,artist palette, , ,art,🎨
1f3a9,127913,top hat, , ,silkhat,🎩
1f3aa,127914,circus tent, , ,event,🎪
1f3ab,127915,ticket, , ,ticket,🎫
1f3ac,127916,clapper board, , ,movie,🎬
1f3ad,127917,performing arts, , ,drama,🎭
1f3ae,127918,video game, , ,controller,🎮
1f3af,127919,direct hit, , ,dart,🎯
1f3b0,127920,slot machine, , ,slot,🎰
1f3b1,127921,billiards, , ,billiards,🎱
1f3b2,127922,game die, , ,dice,🎲
1f3b3,127923,bowling, , ,bowling,🎳
1f3b4,127924,flower playing cards, , ,japaneseplayingcards,🎴
1f3b5,127925,musical note, , ,melody2,🎵
1f3b6,127926,multiple musical notes, , ,melody,🎶
1f3b7,127927,saxophone, , ,,🎷
1f3b8,127928,guitar, , ,guitar,🎸
1f3b9,127929,musical keyboard, , ,piano,🎹
1f3ba,127930,trumpet, , ,trumpet,🎺
1f3bb,127931,violin, , ,violin,🎻
1f3bc,127932,musical score, , ,melody3,🎼
1f3bd,127933,running shirt with sash, , ,,🎽
1f3be,127934,tennis racquet and ball, , ,tennis,🎾
1f3bf,127935,ski and ski boot, , ,skis,🎿
1f3c0,127936,basketball and hoop, , ,basketball,🏀
1f3c1,127937,chequered flag, , ,checkerflag,🏁
1f3c2,127938,snowboarder, , ,snowboard,🏂
